destination.ip,destination.ip.details
193.233.132.177,Phorpiex - Downloader Delivering Ransomware (463)
91.202.5.49,UAC-0063: Cyber Espionage Operation Expanding from Central Asia (464)
195.80.150.54,UAC-0063: Cyber Espionage Operation Expanding from Central Asia (464)
46.183.219.228,UAC-0063: Cyber Espionage Operation Expanding from Central Asia (464)
185.167.63.42,UAC-0063: Cyber Espionage Operation Expanding from Central Asia (464)
212.224.86.69,UAC-0063: Cyber Espionage Operation Expanding from Central Asia (464)
185.62.56.47,UAC-0063: Cyber Espionage Operation Expanding from Central Asia (464)
185.158.248.198,UAC-0063: Cyber Espionage Operation Expanding from Central Asia (464)
84.32.188.23,UAC-0063: Cyber Espionage Operation Expanding from Central Asia (464)
38.180.87.154,UAC-0063: Cyber Espionage Operation Expanding from Central Asia (464)
91.237.124.142,UAC-0063: Cyber Espionage Operation Expanding from Central Asia (464)
216.219.87.41,Persistent Threats from the Kimsuky Group Using RDP Wrapper (465)
74.50.94.175,Persistent Threats from the Kimsuky Group Using RDP Wrapper (465)
185.156.72.78,CVE-2025-0411: Ukrainian Organizations Targeted in Zero-Day Campaign and Homoglyph Attacks (467)
45.32.116.146,Operation AkaiRyū: MirrorFace invites Europe to Expo 2025 and revives ANEL backdoor (475)
64.176.56.26,Operation AkaiRyū: MirrorFace invites Europe to Expo 2025 and revives ANEL backdoor (475)
104.233.167.135,Operation AkaiRyū: MirrorFace invites Europe to Expo 2025 and revives ANEL backdoor (475)
152.42.202.137,Operation AkaiRyū: MirrorFace invites Europe to Expo 2025 and revives ANEL backdoor (475)
208.85.18.4,Operation AkaiRyū: MirrorFace invites Europe to Expo 2025 and revives ANEL backdoor (475)
107.173.111.26,Houken seeking a path by living on the edge with zero-days (478)
195.133.52.87,Houken seeking a path by living on the edge with zero-days (478)
45.33.101.53,Houken seeking a path by living on the edge with zero-days (478)
156.234.193.18,Houken seeking a path by living on the edge with zero-days (478)
198.98.54.209,Houken seeking a path by living on the edge with zero-days (478)
23.236.66.97,Houken seeking a path by living on the edge with zero-days (478)
134.195.90.71,Houken seeking a path by living on the edge with zero-days (478)
64.176.49.160,Houken seeking a path by living on the edge with zero-days (478)
